Full Name,Date of Birth,Country of Origin,Prior Arrests,List of Charges,Pending Warrants
Elena Ishii,1993-06-06,Japan,0,None,No
Lukas Vacek,1985-07-14,Czech Republic,1,Theft,No
Martina Navratilova,1956-10-18,Czech Republic,0,None,No
Jakub Kohout,1990-09-09,Czech Republic,2,"Vandalism; Resisting Arrest",No
Petra Kvitova,1990-03-08,Czech Republic,0,None,No
Tomas Rosicky,1980-10-04,Czech Republic,0,None,No
Milan Baros,1981-10-28,Czech Republic,1,Public Disturbance,No
Jan Hus,1970-07-07,Czech Republic,1,Heresy,No
Franz Kafka,1983-07-03,Czech Republic,0,None,No
Soren Abildgaard,1982-01-20,Denmark,1,Illegal Fishing,No
Mette Frederiksen,1977-11-19,Denmark,0,None,No
Lars von Trier,1956-04-30,Denmark,1,Public Indecency,No
Mads Mikkelsen,1965-11-22,Denmark,0,None,No
Nikolaj Coster-Waldau,1970-07-27,Denmark,0,None,No
Viggo Mortensen,1958-10-20,United States,0,None,No
Helena Christensen,1968-12-25,Denmark,0,None,No
Bjork Gudmundsdottir,1965-11-21,Iceland,1,Assault (Paparazzi),No
Sigur Ros,1975-01-01,Iceland,0,None,No
Magnus Carlsen,1990-11-30,Norway,0,None,No
Ole Gunnar Solskjaer,1973-02-26,Norway,0,None,No
Erling Haaland,2000-07-21,Norway,0,None,No
Ada Hegerberg,1995-07-10,Norway,0,None,No
Henrik Ibsen,1960-03-20,Norway,1,Sedition,No
Edvard Munch,1963-12-12,Norway,1,Vandalism,No
Roald Amundsen,1972-07-16,Norway,0,None,No
Thor Heyerdahl,1964-10-06,Norway,1,Customs Violation,No
Alexander Skarsgard,1976-08-25,Sweden,0,None,No
Stellan Skarsgard,1951-06-13,Sweden,0,None,No
Alicia Vikander,1988-10-03,Sweden,0,None,No
Greta Thunberg,2003-01-03,Sweden,2,"Trespassing; Civil Disobedience",No
Zlatan Ibrahimovic,1981-10-03,Sweden,1,Assault,No
Alfred Nobel,1950-10-21,Sweden,1,Possession of Explosives,No
August Strindberg,1960-01-22,Sweden,1,Libel,No
Ingmar Bergman,1958-07-14,Sweden,0,None,No
Jean Reno,1948-07-30,France,1,Accessory to Homicide,No
Vincent Cassel,1966-11-23,France,2,"Assault; Vandalism",No
Marion Cotillard,1975-09-30,France,0,None,No
Lea Seydoux,1985-07-01,France,0,None,No
Zinedine Zidane,1972-06-23,France,1,Assault (Headbutt),No
Thierry Henry,1977-08-17,France,0,None,No
Kylian Mbappe,1998-12-20,France,0,None,No
Victor Hugo,1962-02-26,France,1,Political Exile,No
Edith Piaf,1975-12-19,France,1,Public Intoxication,No
Coco Chanel,1963-08-19,France,1,Espionage,No
Christian Dior,1965-01-21,France,0,None,No
Yves Saint Laurent,1976-08-01,Algeria,0,None,No
Monica Bellucci,1964-09-30,Italy,0,None,No
Sophia Loren,1954-09-20,Italy,1,Tax Evasion,No
Roberto Benigni,1952-10-27,Italy,1,Disturbing the Peace,No
Federico Fellini,1960-01-20,Italy,0,None,No
Ennio Morricone,1958-11-10,Italy,0,None,No
Andrea Bocelli,1958-09-22,Italy,0,None,No
Valentino Rossi,1979-02-16,Italy,1,Speeding,No
Gianluigi Buffon,1978-01-28,Italy,1,Illegal Gambling,No
Francesco Totti,1976-09-27,Italy,0,None,No
Alessandro Del Piero,1974-11-09,Italy,0,None,No
Leonardo Da Vinci,1952-04-15,Italy,1,Graverobbing,No
Michelangelo Buonarroti,1955-03-06,Italy,1,Assault,No
Galileo Galilei,1964-02-15,Italy,1,Heresy,No
Marco Polo,1974-09-15,Italy,1,Smuggling,No
Christopher Columbus,1951-10-31,Italy,2,"Grand Theft Ship; Kidnapping",No
Amerigo Vespucci,1954-03-09,Italy,0,None,No
Dante Alighieri,1965-06-01,Italy,1,Exile,No
Niccolo Machiavelli,1969-05-03,Italy,2,"Conspiracy; Fraud",Yes
Giacomo Casanova,1975-04-02,Italy,3,"Seduction Fraud; Prison Break",No
Antonio Vivaldi,1978-03-04,Italy,0,None,No
Guiseppe Verdi,1963-10-10,Italy,1,Sedition,No
Luciano Pavarotti,1955-10-12,Italy,0,None,No
Giorgio Armani,1954-07-11,Italy,0,None,No
Gianni Versace,1966-12-02,Italy,0,None,No
Donatella Versace,1975-05-02,Italy,0,None,No
Miuccia Prada,1969-05-10,Italy,0,None,No
Enzo Ferrari,1968-02-18,Italy,1,Speeding,No
Ferruccio Lamborghini,1966-04-28,Italy,0,None,No
John Doe,1980-01-01,United States,0,None,No
Jane Doe,1985-05-05,Canada,1,Vagrancy,No
Richard Roe,1978-03-03,United Kingdom,2,Trespassing,No
Jane Roe,1982-04-04,Australia,1,Public Nuisance,No
Baby Doe,2024-01-01,Unknown,0,None,No
John Smith,1990-12-12,United States,1,Shoplifting,No
Mary Johnson,1988-11-11,United States,0,None,No
James Williams,1985-10-10,United States,3,"DUI; Possession",No
Patricia Brown,1982-09-09,United States,1,Theft,No
Robert Jones,1979-08-08,United States,2,Assault,No
Maria Garcia,1976-07-07,Mexico,0,None,No
Michael Miller,1973-06-06,United States,4,"Burglary; Grand Larceny",Yes
Linda Davis,1970-05-05,United States,1,Fraud,No
David Rodriguez,1967-04-04,Mexico,2,Illegal Entry,No
Barbara Martinez,1964-03-03,Spain,0,None,No
William Hernandez,1961-02-02,Mexico,1,DUI,No
Elizabeth Lopez,1958-01-01,United States,0,None,No
Richard Gonzalez,1955-12-12,Cuba,1,Political Crimes,No
Susan Wilson,1952-11-11,United States,0,None,No
Joseph Anderson,1949-10-10,United States,2,Theft,No
Jessica Thomas,1946-09-09,United Kingdom,0,None,No
Sarah Taylor,1943-08-08,United States,1,Embezzlement,No
Karen Moore,1940-07-07,United States,0,None,No
Nancy Jackson,1937-06-06,United States,1,Shoplifting,No
Margaret Martin,1934-05-05,United Kingdom,0,None,No
Christopher Lee,1931-04-04,United Kingdom,1,Illegal Firearm Possession,No
Sandra Perez,1928-03-03,Mexico,0,None,No
Ashley Thompson,1995-02-02,United States,1,Drug Possession,No
Dorothy White,1992-01-01,United States,0,None,No
Kimberly Harris,1989-12-31,United States,1,Identity Theft,No
Donna Sanchez,1986-11-30,United States,2,Assault,No
Emily Clark,1983-10-29,United States,0,None,No
Michelle Ramirez,1980-09-28,Mexico,1,Theft,No
Carol Lewis,1977-08-27,United Kingdom,0,None,No
Amanda Robinson,1974-07-26,United States,1,Vandalism,No
Melissa Walker,1971-06-25,United States,3,Armed Robbery,Yes
Deborah Young,1968-05-24,United States,1,Fraud,No
Stephanie Allen,1965-04-23,United States,0,None,No
Rebecca King,1962-03-22,United States,1,Harassment,No
Laura Wright,1959-02-21,United States,2,Theft,No
Sharon Scott,1956-01-20,United States,0,None,No
Cynthia Torres,1953-12-19,Mexico,1,Illegal Entry,No
Linh Nguyen,1998-11-18,Vietnam,0,None,No
Kathleen Hill,1995-10-17,United States,1,Theft,No
Amy Flores,1992-09-16,Mexico,0,None,No
Shirley Green,1989-08-15,United States,1,Public Intoxication,No
Angela Adams,1986-07-14,United States,2,Assault,No
Helen Nelson,1983-06-13,United States,1,Shoplifting,No
Anna Baker,1980-05-12,United Kingdom,0,None,No
Brenda Hall,1977-04-11,United States,1,DUI,No
Pamela Rivera,1974-03-10,Mexico,2,Burglary,No
Nicole Campbell,1971-02-09,United States,1,Theft,No
Samantha Mitchell,1968-01-08,United States,0,None,No
Katherine Carter,1965-12-07,United States,1,Fraud,No
Emma Roberts,1962-11-06,United Kingdom,1,Tax Evasion,No
